"MA1" "MA2" "MA3" "CS1" "CS2" "LL1" "LL2" "Y" "Gen" "Car"
72 76 82 81 97 52 70 75 "H" "IM"
38 45 60 72 61 84 92 53 "M" "IC"
61 42 62 77 71 95 53 72 "M" "IM"
72 39 42 69 62 34 79 75 "H" "IC"
48 37 64 82 75 61 56 54 "M" "IC"
37 57 20 67 86 60 40 45 "M" "IE"
39 52 11 62 47 72 69 42 "H" "IP"
72 65 61 69 81 46 52 67 "M" "IM"
34 81 64 80 60 75 73 63 "H" "IE"
56 70 88 80 71 38 85 71 "M" "IM"
34 48 57 65 73 65 81 52 "H" "IC"
71 77 76 78 72 59 73 73 "M" "IE"
30 39 20 72 75 87 77 47 "H" "IM"
65 25 52 54 74 57 81 54 "H" "IC"
58 72 85 73 80 99 56 72 "M" "IP"
24 26 43 87 59 62 58 40 "H" "IC"
46 58 54 71 64 69 46 57 "M" "IE"
80 93 65 85 80 56 75 77 "M" "IQ"
44 65 77 69 62 59 56 65 "M" "IC"
64 75 74 76 90 56 72 79 "M" "IM"
36 41 58 75 62 55 44 51 "H" "IQ"
38 86 68 71 82 59 56 66 "M" "IQ"
